年份,子赛事,学校,队伍名称,OS,查重分支,终选repo,初赛fork版,初赛fork版访问情况,源地址,源地址访问情况,决赛fork版,决赛fork版访问情况,备注
2026,内核实现赛道,武汉大学,振兴三连队,,canonical,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910069-16,可访问,,,,,
2026,内核实现赛道,武汉大学,OSOSOS,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910278-977,可访问,https://gitlab.eduxiji.net/T2026104869910278/oskernel2026-ososos,,,,
2026,内核实现赛道,武汉大学,洗剪吹,,master,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910383-3620,可访问,https://gitlab.eduxiji.net/T202610486209882/oskernel2026-xjc,,,,
2026,内核实现赛道,武汉大学,CoreCraft,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910397-1406,可访问,https://gitlab.eduxiji.net/T2026104869910397/oskernel2026-corecraft,,,,
2026,内核实现赛道,武汉大学,Falcores,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910452-2638,可访问,,,,,
2026,内核实现赛道,武汉大学,letsgooooo,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910509-3306,可访问,https://gitlab.eduxiji.net/T2026104869910509/letsgo,,,,
2026,内核实现赛道,武汉大学,S-OS队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910625-752,可访问,https://gitlab.eduxiji.net/T2026104869910625/oskernel2026-sos,,,,
2026,内核实现赛道,武汉大学,缺页不缺奖队,,ltp,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910787-1379,可访问,,,,,
2026,内核实现赛道,武汉大学,笑南梁队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910817-2083,可访问,https://gitlab.eduxiji.net/T2026104869910817/oskernel2025-x,,,,
2026,内核实现赛道,武汉大学,F7LY,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869911125-3113,可访问,https://gitlab.eduxiji.net/T202510486995205/oskernel2026-f7ly,,,,
2026,内核实现赛道,武汉大学,RUOS,,master,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610486999570-2543,可访问,https://gitlab.eduxiji.net/T202610486999570/rcore-lab,,,,
